CASE 1 (x1 = 1, x2 = 5):
     x1        x2    f(x1, x2)
 4.27203  21.53        -21.625
 4.18124  21.563       -22.0009
 4.38937  22.1561      -22.2119
 4.3042   22.186       -22.5629
 4.53947  22.894       -22.7981
 4.45017  22.9237      -23.1889
 5.4113   26.8311      -24.6114
 5.231    26.8769      -25.8119
 5.28703  27.3244      -25.9319
 5.31846  27.3204      -26.0291
 5.73579  29.6         -26.7884
 5.76773  29.595       -26.8992
 5.78237  29.6284      -26.9045
 5.77506  29.6316      -26.9099
 5.79575  29.6855      -26.918
 5.78646  29.6891      -26.9264
 5.81272  29.7631      -26.9373
 5.80193  29.767       -26.9484
 5.84172  29.893       -26.966
 5.82776  29.8974      -26.9841
 5.88112  30.0792      -27.0083
 5.86485  30.084       -27.0329
 6.00499  30.9294      -27.1447
 6.03081  30.9251      -27.2185
 6.0352   30.932       -27.2193
 6.03254  30.9337      -27.2201
 6.03715  30.9412      -27.221
 6.03439  30.9429      -27.2218
 6.03932  30.9514      -27.2228
 6.03641  30.9531      -27.2237
 6.04169  30.9625      -27.2248
 6.03864  30.9642      -27.2258
 6.04444  30.9751      -27.2269
 6.04118  30.9769      -27.2281
 6.04765  30.9898      -27.2295
 6.04412  30.9916      -27.2308
 6.05167  31.0079      -27.2325
 6.04775  31.0097      -27.2341
 6.0572   31.0322      -27.2363
 6.05263  31.0341      -27.2385
 6.06694  31.0736      -27.2422
 6.06097  31.0758      -27.2459
 6.13979  31.3878      -27.2728
 6.12358  31.3919      -27.2974
 6.2602   32.1174      -27.381
 6.26691  32.1166      -27.3857
 6.27468  32.1386      -27.3868
 6.27151  32.1397      -27.3878
 6.28456  32.1823      -27.3898
 6.28021  32.1836      -27.3918
 6.29969  32.2531      -27.3949
 6.2943   32.2547      -27.3978
 6.35629  32.5193      -27.4087
 6.34713  32.5215      -27.4169
 6.36914  32.6629      -27.4213
 6.37493  32.662       -27.4248
 6.39478  32.7403      -27.4267
 6.39067  32.7414      -27.4285
 6.39308  32.7649      -27.429
 6.39526  32.7647      -27.4295
 6.40394  32.7955      -27.4301
 6.40153  32.7962      -27.4308
 6.40408  32.82        -27.4312
 6.40616  32.8197      -27.4317
 6.41439  32.8493      -27.4322
 6.41215  32.8499      -27.4328
 6.41868  32.8968      -27.4336
 6.42135  32.8965      -27.4343
 6.45416  33.0472      -27.4373
 6.45133  33.0478      -27.4382
 6.45256  33.0594      -27.4383
 6.45358  33.0592      -27.4384
 6.45703  33.0713      -27.4385
 6.45603  33.0716      -27.4386
 6.4586   33.091       -27.4388
 6.45983  33.0908      -27.4389
 6.46281  33.1012      -27.439
 6.46194  33.1014      -27.4391
 6.46689  33.1338      -27.4393
 6.46829  33.1336      -27.4395
 6.47131  33.1446      -27.4396
 6.47052  33.1448      -27.4397
 6.47869  33.1932      -27.44
 6.48006  33.193       -27.4401
 6.48212  33.2006      -27.4402
 6.4816   33.2008      -27.4402
 6.48922  33.236       -27.4404
 6.48862  33.2362      -27.4404
 6.48859  33.2364      -27.4404
 6.48866  33.2364      -27.4404
 6.48863  33.2366      -27.4404
 6.48871  33.2366      -27.4404
 6.48868  33.2369      -27.4404
 6.48876  33.2369      -27.4404
 6.48873  33.2372      -27.4404
 6.48881  33.2372      -27.4404
 6.48879  33.2375      -27.4404
 6.48888  33.2375      -27.4404
 6.48886  33.2379      -27.4404
 6.48896  33.2379      -27.4404
 6.48895  33.2384      -27.4404
 6.48906  33.2384      -27.4404
 6.48908  33.2392      -27.4404
 6.48921  33.2392      -27.4404
 6.4893   33.2405      -27.4404
 6.48947  33.2405      -27.4404
 6.49042  33.2471      -27.4405
 6.49076  33.247       -27.4405
 6.49108  33.248       -27.4405
 6.49095  33.248       -27.4405
 6.49336  33.2582      -27.4405
 6.493    33.2583      -27.4405
 6.49298  33.2585      -27.4405
 6.49303  33.2585      -27.4405
 6.49301  33.2586      -27.4405
 6.49306  33.2586      -27.4405
 6.49305  33.2589      -27.4405
 6.49311  33.2589      -27.4405
 6.49309  33.2591      -27.4405
 6.49315  33.2591      -27.4405
 6.49315  33.2594      -27.4405
 6.49322  33.2594      -27.4405
